SRNO,Accident_Location,Latitude,Longitude
79.0,Tichakpura,21.086008,72.932719
80.0,Virpur,21.113558,72.827075
81.0,Vanesa,21.104644,73.206819
82.0,Tichakpura,21.085639,72.933597
83.0,Sonarpada,21.143278,72.747594
84.0,Mandal,21.120525,72.811803
85.0,Bhatpor,21.167225,73.573297
86.0,Bhatpor,21.1718,73.576347
87.0,Kawas,21.179147,73.605644
88.0,Katgadh,21.107,72.848444
89.0,Vaanz,21.126222,73.377139
90.0,Pokharan,21.136317,72.753242
91.0,Pokharan,21.1366,72.752869
92.0,Borakhdi,21.086317,72.978056
93.0,Afva,21.109497,73.140964
94.0,Mora,21.164653,73.639381
95.0,Tichakpura,21.085028,72.938831
96.0,Gabheni,21.126922,73.430436
97.0,Bhatpor,21.164389,73.557453
98.0,Bhimrad,21.134961,73.478617
99.0,Chacharbunda,21.187619,72.711344
100.0,Pankhri,21.190231,72.719025
101.0,Maypur,21.086219,72.954575
102.0,Bajipura,21.0886,73.0016
103.0,Hazira,21.165025,73.657656
104.0,Sejvad,21.101611,73.082483
105.0,Sachin GIDC,21.125692,73.422361
106.0,Doswada,21.129644,72.763486
107.0,Kikakui,21.120231,72.796325
108.0,Bhatia,21.112903,73.354567
109.0,Sejvad,21.101558,73.072858
110.0,Mora,21.164561,73.645153
111.0,Kribhco,21.176814,73.611389
112.0,Bhatia,21.110533,73.353164
113.0,Songadh ,21.160142,72.737978
114.0,Vanz ,21.126228,73.376175
115.0,Vanz ,21.126231,73.373286
116.0,Sachin ,21.126147,73.389653
117.0,Vanz ,21.126222,73.377139
118.0,Sakarda ,21.113281,72.629033
119.0,Taraj ,21.099622,73.334028
120.0,Sachin ,21.126031,73.406975
121.0,Sonarpada ,21.148133,72.744628
122.0,Bhatia ,21.102814,73.346956
123.0,Bardoli,21.106469,73.174842
124.0,Katgadh ,21.104233,72.856072
125.0,Vanz ,21.126186,73.382914
126.0,Magdalla ,21.162336,73.547208
127.0,Khajod ,21.137825,73.488739
128.0,Ichhapore,21.174164,73.577758
129.0,Bardoli ,21.108203,73.181308
130.0,Songadh,21.159736,72.738186
131.0,Pankhri,21.189067,72.715381
132.0,Mora ,21.1646,73.638419
133.0,Sejvad ,21.101606,73.081039
134.0,Katgadh,21.104531,72.855164
135.0,Kawas,21.178194,73.607828
136.0,Lingad,21.102319,73.345611
137.0,Khushalpur,21.085,72.939792
138.0,Ghabheni ,21.125969,73.424264
139.0,Kawas,21.183392,73.590839
140.0,Malekpor ,21.102428,73.272697
141.0,Chachadbunda ,21.187392,72.710928
142.0,Pankhri ,21.190081,72.718569
143.0,Afva,21.108686,73.151483
144.0,Pokaran ,21.130589,72.761844
145.0,Hazira ,21.162911,73.720197
146.0,Katgadh,21.104383,72.855617
147.0,Ghabheni ,21.125669,73.416114
148.0,Sonarpada ,21.148133,72.744628
1.0,Mora ,21.178942,72.670308
2.0,Manekpor,21.099231,73.237539
3.0,Kikakui,21.139539,73.492694
4.0,Hazira ,21.161936,72.664756
5.0,Mandal,21.132614,73.471469
6.0,Khushalpura,21.124675,73.365453
7.0,Navi Kikvad ,21.10525,73.170786
8.0,Afva ,21.109372,73.145342
9.0,Ichhapore ,21.188578,72.713633
10.0,Magdalla,21.129886,72.763111
11.0,Hazira ,21.150142,72.661886
12.0,Kikakui,21.137786,73.488389
13.0,Malekpur-Kanav,21.089581,73.005842
14.0,Manekpor,21.099906,73.233269
15.0,Sachin,21.098036,72.881225
16.0,Vanz,21.091342,72.911342
17.0,Badbhunja,21.166472,73.672689
18.0,Etadava,21.086308,72.959411
19.0,Bardoli,21.106811,73.112969
20.0,Kikakui,21.139575,73.492781
21.0,Vanz,21.089547,72.903417
22.0,Sonarpada,21.161097,73.544269
23.0,Hindoliya,21.108633,73.183739
24.0,Kikakui,21.140322,73.495553
25.0,Hazira,21.176564,72.668236
26.0,Manekpor,21.099303,73.237064
27.0,Kribhco Flyover,21.182447,72.699719
28.0,Kushalpura,21.123339,73.362944
29.0,Bhatia Toll,21.090614,72.921958
30.0,Gabheni,21.106036,72.851172
31.0,Pokharan,21.149742,73.523531
32.0,Magdalla,21.144203,72.747014
33.0,Kikakui,21.13965,73.492956
34.0,Borakhadi ,21.097228,73.304892
35.0,Khushalpura,21.119664,73.358731
36.0,Khushalpura,21.126272,73.374347
37.0,Manekpor,21.099378,73.236589
38.0,Bajipura,21.096114,73.26345
39.0,Bajipura ,21.099592,73.268489
40.0,Sachin,21.097986,72.881703
41.0,Kikakui,21.139683,73.493044
42.0,Magdalla,21.150825,72.742881
43.0,Tichakpura,21.099958,73.336983
44.0,Magdalla,21.144589,72.746767
45.0,Pankhri,21.182581,73.588283
46.0,Itadva,21.086097,72.962769
47.0,Vanz,21.091111,72.909919
48.0,Magdalla,21.136033,72.753653
49.0,Vanz,21.091419,72.911817
50.0,Khushalpura,21.121344,73.360336
51.0,Hazira,21.148392,72.661431
52.0,Pokaran,21.150561,73.525247
53.0,Hindoliya,21.107267,73.191261
54.0,Runvalla,21.109967,73.132847
55.0,Kikakui,21.137983,73.489328
56.0,Kikakui,21.137619,73.487442
57.0,Budiya,21.110333,72.838336
58.0,Palsana,21.085561,72.971889
59.0,Pokaran,21.153206,73.530278
60.0,Juni Kikvad,21.107794,73.179014
61.0,Songadh,21.167108,73.573019
62.0,Bajipura,21.103511,73.287456
63.0,Indu ,21.126214,73.386381
64.0,Runvalla,21.109964,73.133328
65.0,Katgadh,21.12625,73.425781
66.0,Afva,21.109372,73.145342
67.0,Doswada,21.145,73.512619
68.0,Abhava ,21.119872,72.787061
69.0,Bajipura,21.103083,73.273519
70.0,Malekpor ,21.092464,73.014892
71.0,Uva,21.1031,73.218258
72.0,Bhatia toll,21.090531,72.922233
73.0,Taraj,21.086014,72.949825
74.0,Doswada,21.146019,73.515189
75.0,Bardoli ,21.107006,73.113911
76.0,Khushalpura,21.120014,73.359036
77.0,Taraj,21.086014,72.949825
78.0,Itadva,21.085906,72.96565
79.0,Doswada,21.142692,73.504328
